Inside Out,2015-06-09,175000000,"Amy Poehler, Joy (voice), Phyllis Smith, Sadness (voice), Bill Hader, Fear (voice), Kaitlyn Dias, Riley (voice), Richard Kind, Bing Bong (voice), Lewis Black, Anger (voice), Mindy Kaling, Disgust (voice), Diane Lane, Mom (voice), Kyle MacLachlan, Dad (voice)","Animation, Family, Adventure, Drama, Comedy",7.922
Jurassic World,2015-06-06,150000000,"Chris Pratt, Owen Grady, Bryce Dallas Howard, Claire Dearing, Ty Simpkins, Gray Mitchell, Nick Robinson, Zach Mitchell, Vincent D'Onofrio, Vic Hoskins, BD Wong, Dr. Henry Wu, Omar Sy, Barry Sembène, Jake Johnson, Lowery Cruthers, Irrfan Khan, Simon Masrani","Action, Adventure, Science Fiction, Thriller",6.682
Se7en,1995-09-22,33000000,"Brad Pitt, Detective David Mills, Morgan Freeman, Detective Lt. William Somerset, Gwyneth Paltrow, Tracy Mills, R. Lee Ermey, Police Captain, John C. McGinley, California, Julie Araskog, Mrs. Gould, Mark Boone Junior, Greasy F.B.I. Man, John Cassini, Officer Davis, Reg E. Cathey, Dr. Santiago","Crime, Mystery, Thriller",8.368
Harry Potter and the Goblet of Fire,2005-11-16,150000000,"Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Brendan Gleeson, Alastor ""Mad-Eye"" Moody, Robbie Coltrane, Rubeus Hagrid, Robert Pattinson, Cedric Diggory, Michael Gambon, Albus Dumbledore, David Tennant, Barty Crouch Junior, Miranda Richardson, Rita Skeeter","Adventure, Fantasy, Family",7.816
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,140000000,"Johnny Depp, Jack Sparrow, Orlando Bloom, Will Turner, Keira Knightley, Elizabeth Swann, Geoffrey Rush, Hector Barbossa, Jack Davenport, James Norrington, Jonathan Pryce, Weatherby Swann, Lee Arenberg, Pintel, Mackenzie Crook, Ragetti, Damian O'Hare, Gillette","Adventure, Fantasy, Action",7.794
Harry Potter and the Deathly Hallows: Part 2,2011-07-12,125000000,"Daniel Radcliffe, Harry Potter, Rupert Grint, Ron Weasley, Emma Watson, Hermione Granger, Ralph Fiennes, Lord Voldemort, Alan Rickman, Severus Snape, Helena Bonham Carter, Bellatrix Lestrange, Maggie Smith, Minerva McGonagall, Michael Gambon, Albus Dumbledore, John Hurt, Ollivander","Fantasy, Adventure",8.105
Star Wars,1977-05-25,11000000,"Mark Hamill, Luke Skywalker, Harrison Ford, Han Solo, Carrie Fisher, Princess Leia Organa, Peter Cushing, Grand Moff Tarkin, Alec Guinness, Obi-Wan ""Ben"" Kenobi, Anthony Daniels, C-3PO, Kenny Baker, R2-D2, Peter Mayhew, Chewbacca, David Prowse, Darth Vader (performer)","Adventure, Action, Science Fiction",8.204
Wonder Woman,2017-05-30,149000000,"Gal Gadot, Diana Prince / Wonder Woman, Chris Pine, Steve Trevor, Connie Nielsen, Hippolyta, Robin Wright, Antiope, Danny Huston, Ludendorff, David Thewlis, Sir Patrick / Ares, Saïd Taghmaoui, Sameer, Ewen Bremner, Charlie, Eugene Brave Rock, The Chief","Action, Adventure, Fantasy",7.236
Up,2009-05-28,175000000,"Ed Asner, Carl Fredricksen (voice), Christopher Plummer, Charles F. Muntz (voice), Jordan Nagai, Russell (voice), Bob Peterson, Dug / Alpha (voice), Delroy Lindo, Beta (voice), Jerome Ranft, Gamma (voice), John Ratzenberger, Construction Foreman Tom (voice), David Kaye, Newsreel Announcer (voice), Elie Docter, Young Ellie (voice)","Animation, Comedy, Family, Adventure",7.949
Ant-Man,2015-07-14,130000000,"Paul Rudd, Scott Lang / Ant-Man, Michael Douglas, Dr. Hank Pym, Evangeline Lilly, Hope van Dyne, Bobby Cannavale, Paxton, Corey Stoll, Darren Cross / Yellowjacket, Anthony Mackie, Sam Wilson / Falcon, Judy Greer, Maggie, Abby Ryder Fortson, Cassie Lang, Michael Peña, Luis","Science Fiction, Action, Adventure",7.082
The Godfather,1972-03-14,6000000,"Marlon Brando, Vito Corleone, Al Pacino, Michael Corleone, James Caan, Sonny Corleone, Richard S. Castellano, Peter Clemenza, Robert Duvall, Tom Hagen, Sterling Hayden, Captain McCluskey, John Marley, Jack Woltz, Richard Conte, Emilio Barzini, Diane Keaton, Kay Adams-Corleone","Drama, Crime",8.707
